code,description
i7753,"Large electromagnetic coil wound with heavy-gauge copper wire"
i4283,"Handful of fuses in glass tubes, rated between 1A and 30A"
i3491,"Spearhead forged from steel, mounted on a wooden shaft"
i4077,"Compact submachine gun frame missing the magazine"
i7391,"Reactor fuel cassette containing enriched uranium pellets for portable nuclear power units"
i9055,"Fully assembled semi-automatic pistol with two loaded magazines"
i1289,"Pneumatic valve assembly with brass fittings and rubber seals"
i9217,"Reactor fuel cassette with depleted core, suitable for reprocessing"
i8830,"Broken shortwave radio chassis that could be repaired with spare valves"
i7628,"Transformer core from a substation, weighs about 90 kilograms"
